PK_UKBaseS,Technology,LAC,CellId,Easting,Northing,CitiLogik_Easting,CitiLogik_Northing
37138,3G,911,65295,526502,105555,526701,105496
37150,3G,911,65293,526502,105555,526347,105834
37174,3G,282,61700,532324,180816,532328,180840
38408,3G,310,64287,525723,176500,525500,176556
38443,3G,310,64576,525723,176500,525775,176959
38545,3G,310,64572,525723,176500,525794,176142
38680,3G,302,63863,533464,184145,533480,183982
38838,3G,183,64146,537296,167627,537387,167506
38934,3G,311,61393,543010,186012,542868,185980
39045,3G,175,62074,550818,176939,550677,176658
39047,3G,183,64104,539112,166173,538887,166321
39061,3G,311,61394,543010,186012,543127,186115
39076,3G,282,62400,532048,181242,532067,181301
39098,3G,189,62046,521628,166657,521525,166449
39107,3G,311,61417,538943,182162,539157,182163
39120,3G,189,62849,524299,169294,524346,169091
39185,3G,183,61189,533460,160720,533263,160796
39186,3G,189,61928,529744,160954,529797,160780
39190,3G,183,64156,532485,161092,532345,161221
39216,3G,189,62845,524807,162970,524640,163331
39217,3G,189,62878,527960,159015,527854,159118
39223,3G,881,63181,617385,160929,617630,161081
39241,3G,183,64157,532485,161092,532390,161029
39279,3G,189,64081,521572,167638,521485,167823
39291,3G,183,64158,532485,161092,532843,160727
39297,3G,881,63180,617385,160929,617541,160783
39317,3G,183,64075,536130,167185,536455,167175
39371,3G,189,62297,532189,168877,532196,168835
39390,3G,189,62295,532189,168877,532076,169010
39416,3G,189,62296,532189,168877,532229,168774
39607,3G,310,65444,528780,174110,528620,174535
39845,3G,311,65407,538315,186115,538446,186216
40298,3G,964,65054,577086,156812,577011,156686
40360,3G,901,64914,560399,103191,560065,102796
40383,3G,901,64909,560399,103191,560450,103049
40475,3G,183,63597,553565,174153,553417,174145
40755,3G,964,65281,579601,155955,579143,155264
41604,3G,911,64874,532912,107330,532923,107076
41659,3G,911,65459,530167,108436,530157,108324
41681,3G,911,65411,532338,106185,532224,106047
41712,3G,911,65460,530167,108436,530154,108612
41782,3G,911,65412,532338,106185,532451,106111
41815,3G,310,65361,532370,174909,532470,174859
41922,3G,310,65269,530277,172596,530363,172554
41990,3G,310,65141,536341,173813,536501,173763
41992,3G,310,63883,530327,172961,530345,172876
42012,3G,310,65133,536341,173813,536203,173969
42068,3G,310,65268,530277,172596,530209,172422
42085,3G,283,55600,527467,182053,527443,182040
42109,3G,189,61874,528995,164964,529088,164782
42116,3G,189,61105,533475,163148,533909,162797
42138,3G,189,61873,528995,164964,528864,164885
42493,3G,301,65357,533493,181470,533405,181357
42546,3G,301,65358,533493,181470,533559,181467
42555,3G,189,65364,524553,160415,524811,160270
42572,3G,189,65344,524553,160415,524477,160338
42634,3G,311,63964,541510,178442,541754,178106
42635,3G,311,61244,542810,178559,542764,178628
42683,3G,311,63958,541510,178442,541694,178795
42684,3G,311,60945,538980,180210,538888,180003
42714,3G,311,61246,542810,178559,542981,178509
42736,3G,6,64708,562783,168454,561650,168588
42773,3G,175,63423,561530,178180,561379,178044
42801,3G,175,63424,561530,178180,562155,178117
42906,3G,311,61058,542330,180300,542489,180162
42923,3G,183,62937,563730,171290,563610,171399
42928,3G,183,62939,563730,171290,564122,171242
42958,3G,183,63604,539895,169693,539967,169613
43000,3G,189,63588,523740,158120,523639,157944
43021,3G,183,63710,535329,169743,535196,169640
43067,3G,311,65394,537960,179020,537929,178975
43095,3G,183,62938,563730,171290,563701,171342
43128,3G,302,60918,534124,181554,534219,181324
43154,3G,311,61216,534646,185888,534477,185968
43167,3G,311,65368,537960,179020,537945,179186
43189,3G,311,61414,534600,181240,534675,181383
43190,3G,311,63024,534743,180796,534653,180907
43241,3G,311,63028,534743,180796,534822,180637
43260,3G,175,62031,546585,175932,546750,175787
43305,3G,175,62030,546585,175932,546401,175854
43317,3G,310,64391,525730,174740,525851,174724
43356,3G,311,63032,534743,180796,534905,180765
43367,3G,310,64375,525730,174740,525701,174810
43395,3G,189,63686,527787,171031,527881,171009
43607,3G,943,65033,572911,110354,574951,111957
43618,3G,964,64975,582466,155293,581879,156141
43636,3G,281,54600,529569,180435,529565,180475
43646,3G,964,64973,582466,155293,581537,154933
43749,3G,964,65215,574037,157651,574199,157650
43810,3G,890,64818,607775,153685,607455,152056
43836,3G,964,65230,574037,157651,574222,157993
43843,3G,310,63623,536710,174590,536661,174387
44257,3G,901,64741,559977,104521,559812,104667
44265,3G,6,64933,529673,138630,529392,138593
44269,3G,901,64700,561387,99057,561443,99172
44270,3G,890,64698,601278,142309,601225,142774
44273,3G,890,64807,599006,141212,599239,141408
44290,3G,901,64738,540543,115177,539329,117025
44303,3G,310,63933,524045,178060,523984,178079
44314,3G,901,64736,559977,104521,562210,104845
44322,3G,6,64934,529673,138630,529704,138422
44330,3G,310,63934,524045,178060,524147,177923
44340,3G,943,64722,601030,126740,601309,129552
44358,3G,901,64693,561387,99057,561327,99017
44393,3G,901,64733,559977,104521,559671,104817
44439,3G,310,64349,522251,179542,522471,179386
44456,3G,901,64742,540543,115177,540051,113327
44460,3G,890,64805,599006,141212,598514,141522
44462,3G,6,64082,525534,136571,525205,136355
44472,3G,310,63899,522390,178677,522511,178775
44664,3G,301,64695,532180,182670,531880,182600
44684,3G,943,65534,571365,107675,568511,108132
44706,3G,943,65528,571365,107675,571354,107411
44938,3G,281,54900,533903,180566,533915,180589
45011,3G,183,62976,563160,173015,563254,172884
45321,3G,282,53400,533229,181075,533195,181088
46012,3G,881,64143,632100,169681,631897,169635
46059,3G,881,64145,632100,169681,632081,170080
46346,3G,283,51200,534219,180569,534241,180588
46456,3G,305,65355,522794,180460,522727,180320
46531,3G,305,64963,522794,180460,522595,180585
46843,3G,943,65241,558451,139309,558458,139448
46871,3G,965,64674,576907,166920,576883,166971
47320,3G,943,64730,580098,108859,580300,108897
47533,3G,7,46697,575715,161290,575703,161707
47686,3G,302,64372,533730,182336,533768,182348
47734,3G,302,62788,533730,182336,533696,182388
47935,3G,881,64082,637620,166460,637481,166806
48007,3G,911,65361,529375,109305,529381,108989
48054,3G,881,63988,635530,166210,635330,165881
48062,3G,911,65230,538820,109411,539035,109343
48158,3G,911,65229,538820,109411,538021,109169
48597,3G,302,61351,530180,177677,530128,177605
48725,3G,302,61360,530180,177677,530125,177586
49023,3G,965,64008,594420,162517,597066,161682
49076,3G,6,62617,557903,144989,557489,145095
49098,3G,890,65252,620019,135916,619805,135845
49100,3G,301,65378,533708,181214,533721,181267
49139,3G,175,63338,549205,175210,549047,175349
49140,3G,311,63139,544378,184450,544261,184346
49141,3G,175,63353,551356,177956,551484,178025
49147,3G,311,63166,543472,179203,543547,179171
49161,3G,311,63140,544378,184450,544489,184490
49281,3G,311,63138,544378,184450,544329,184524
49282,3G,175,63352,551356,177956,551349,177874
49528,3G,311,62982,540070,183240,540440,183155
49542,3G,183,63129,544285,169652,544048,170055
49555,3G,175,63347,558016,177318,558429,177296
49578,3G,175,63345,558016,177318,557921,177676
49596,3G,183,36709,532970,159300,532951,159925
49621,3G,175,63322,549536,183393,549202,182831
49707,3G,890,64624,631335,142015,631215,142166
49734,3G,881,64311,613030,166568,613032,166342
49804,3G,965,63221,572190,170380,572253,170360
50066,3G,183,62754,540350,169640,540186,169779
50093,3G,183,62756,540350,169640,540413,169558
50603,3G,6,64257,562783,168454,563926,169115
50627,3G,175,52554,561530,178180,561522,178291
50651,3G,6,64255,562783,168454,563319,167518
50955,3G,175,61706,555390,178160,555482,178104
50958,3G,175,61705,555390,178160,555381,178143
51051,3G,175,52796,543973,173035,543932,172846
51069,3G,175,52797,543973,173035,544190,172896
51311,3G,183,45434,563730,171290,563630,171391
51335,3G,183,45436,563730,171290,563933,171282
51336,3G,966,64310,569094,182600,569322,182380
51381,3G,175,61757,558970,182680,558877,182898
51384,3G,175,61758,558970,182680,558791,182417
51599,3G,964,64708,580160,157190,580230,157081
51804,3G,964,64699,580160,157190,579862,157099
51872,3G,890,63665,604170,142180,604041,141550
51937,3G,901,63816,536208,133068,535328,134452
52059,3G,943,65127,584150,111154,583685,111450
52074,3G,901,63818,536208,133068,538238,133132
52141,3G,943,65034,572911,110354,573816,112445
52244,3G,310,65064,522250,175505,522105,175149
52267,3G,310,65224,527500,171300,527466,171193
52289,3G,310,65183,526969,173767,527092,173748
52290,3G,310,65024,522250,175505,522214,175663
52347,3G,964,64828,585436,150552,583523,151612
52359,3G,911,65288,526162,105016,525716,105113
52409,3G,964,65219,574037,157651,573650,157445
52463,3G,964,65216,574037,157651,574130,157647
52699,3G,901,64743,559977,104521,560877,104702
52868,3G,901,64689,561387,99057,561453,99014
52886,3G,890,64605,623568,136775,623954,136628
52890,3G,890,64608,623568,136775,623373,136738
52894,3G,901,64717,561387,99057,561327,99017
52952,3G,183,61072,533233,157431,533064,157113
53001,3G,183,61070,533233,157431,533380,157596
53464,3G,964,65332,572889,156855,572905,156765
53499,3G,964,65328,572889,156855,572933,157709
53519,3G,943,65364,557066,137663,557247,137901
53547,3G,943,65389,557581,143201,557751,142809
53564,3G,183,64088,542510,171103,542397,170801
53568,3G,183,64098,542510,171103,542650,171054
53575,3G,943,65386,557581,143201,555391,143479
53591,3G,311,63105,538660,183440,538546,183370
53613,3G,311,63106,538660,183440,538802,183399
53633,3G,311,63110,538660,183440,538625,183520
53766,3G,310,56599,522825,177815,523000,177659
53796,3G,6,64035,528446,143975,528208,143634
53801,3G,6,64034,528446,143975,528316,144094
53846,3G,6,63233,528975,143827,529039,143790
53993,3G,943,65417,582710,110630,582931,110694
53996,3G,943,65432,583645,111310,583620,111089
54146,3G,890,63197,622920,138190,622513,137661
54173,3G,943,65431,583645,111310,583520,111588
54237,3G,964,65510,590721,143374,592144,143411
54365,3G,911,65470,534613,109343,535916,108973
54409,3G,911,65467,534613,109343,534445,108798
54487,3G,175,61906,550933,178088,550938,177988
54533,3G,175,61899,550933,178088,550641,178463
54546,3G,310,64610,523863,178366,523860,178205
54558,3G,890,64038,613695,137134,612767,136187
54562,3G,890,64039,613695,137134,614612,137164
54574,3G,964,63428,588897,150816,590296,149911
54621,3G,964,64884,575825,155307,575998,155174
54721,3G,890,64037,613695,137134,612307,135616
54738,3G,964,65270,569909,161034,568592,159354
54871,3G,964,65239,569909,161034,570361,160671
54904,3G,911,65282,526162,105016,525978,105029
55325,3G,943,65480,554092,139024,554532,139173
55344,3G,943,65479,554092,139024,554450,138648
55451,3G,943,65454,574572,107777,574552,107834
55498,3G,901,64795,561063,104470,560461,104207
55579,3G,901,64180,560107,97823,560591,98051
55588,3G,189,62400,531735,167165,531566,166956
55898,3G,175,45767,557845,178681,558009,178748
56003,3G,943,65224,558246,137387,555885,135767
56040,3G,964,65479,575927,155787,576049,155740
56041,3G,911,65530,525185,105645,524836,105930
56075,3G,965,65408,581536,166782,581631,167444
56106,3G,964,65258,578045,157265,578156,157425
56184,3G,964,65476,575927,155787,575763,155925
56185,3G,965,65405,581536,166782,582085,166444
57636,3G,310,61137,525054,176532,525053,176696
57680,3G,310,61149,525054,176532,525069,176385
57842,3G,911,65218,528790,105433,528845,105309
57849,3G,6,63180,546805,143040,549076,144637
57872,3G,6,63832,528260,136570,528384,136649
57903,3G,8,63913,527866,138887,528000,138941
57970,3G,8,62638,527582,135835,527342,135747
57974,3G,911,65226,538820,109411,539254,109345
57997,3G,6,63825,528260,136570,528168,136488
58087,3G,6,62966,568141,158346,565878,158528
58143,3G,6,64229,560183,146152,562168,145100
58144,3G,6,64020,560911,157551,559657,157249
58222,3G,6,62967,568141,158346,568323,158259
58415,3G,310,64298,524472,177972,524519,177932
58458,3G,310,63652,539100,175659,539256,175732
58593,3G,311,62076,534651,179040,534466,179176
58655,3G,890,64461,609418,137971,609818,137908
58799,3G,310,64377,536472,172163,536513,172153
58810,3G,310,64616,533665,172125,533673,172146
58855,3G,310,64612,533665,172125,533625,172224
58886,3G,189,63704,530839,169253,530810,169141
