1455fa4013f9b3150e7cb4a194bb0d1807ce364513367dfacf147c9bdd3a0,1438254760000,205,63430
77a15b1a907536aa7d11985e2efe2f99ae83f5b9ae80118938b6731d42d8abc,1438254777000,249,47084
375d2e621612f6933a6a6fbda128f40e7156a37bd243b7ecdfe54932b25397,1438254780000,61,65296
52aa20612c559bdd6c904d7b35ae1941504219673be5671283e0836d6e8c12,1438254759000,123,63464
b4ba5b26a115eefb39f2b034a422ea6ec6f0184de19b4dbe3bd55abfec9021,1438254777000,239,64763
6ad15e3f479e8e8eba3ee694fff966c42114330f73effe7b2d4b5a4b48e0b,1438254779000,175,57568
74a64acb55717b3ee32a473d5ff357bfd2ffc2355bdf041412fbd5d0b482,1438254779000,992,64276
7364ae732ce9a26563e81f80e18ed74b58a97d8481eeaf89d4a091275db570c5,1438254779000,288,65243
973e907b6219b1692c93aedc44f5c690e25b22e125a058fbe566a481d8a2e,1438254777000,137,64654
d4a79c994a2abd42d1a4ff519fdfbf2c9c499971e0fb6d606dd8f9fd2cf,1438254759000,227,64342
b848dc4d8c8daebd850a2c1bfa92bc33d14de764e9dd4d1c89ee988ca26cb,1438254776000,69,65013
1daac491af5575b8d643931c3394ae5b0bd1cc38a989a6f58beef618748b4,1438254780000,288,64838
392cb893a0444f4d3d211a687ea2f74a73a7b2f47c2abbe44741cb3a5987193,1438254777000,302,65066
c12289ef3e911886ec2786927c1bd829c34f131b69d77d774c12949f711bbf1,1438254777000,72,63505
13be1811a1aa7855853f6699728fe55329afb813c21d2b5189bde023826fff,1438254780000,992,65379
4948f9d916d04f648c65edecc79fba4c99b4c118848dfaef137ec1a48be,1438254758000,988,65388
f1c414c35f228da58d79448f14840f934b6202f8fa19cab75b9c492c76f,1438254778000,301,63432
8eaf30e74a5a2b4e39431f6197ba72ea7c5eba17f06c3bdff1f8c435e9a95e1,1438254779000,301,63283
cddeb160359799207de7224a3a6743f79178117a8cd3461bf7f937dff5baeabe,1438254777000,62,63663
